nx_1_significand,nx_1_exponent,nx_2_significand,nx_2_exponent,nNorm_1_significand,nNorm_1_exponent,nNorm_2_significand,nNorm_2_exponent,sSquare_1_significand,sSquare_1_exponent,sSquare_2_significand,sSquare_2_exponent,s_1_significand,s_1_exponent,s_2_significand,s_2_exponent,znxnz_1_significand,znxnz_1_exponent,znxnz_2_significand,znxnz_2_exponent,sny_1_significand,sny_1_exponent,sny_2_significand,sny_2_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-8925845386274336,-76,7281841544100096,-127,6359276604189165,-94,-6561505182351736,-148,8773000867254762,-137,-7142427534032896,-191,8889328820185423,-95,6210443557792452,-152,7434046956500791,-116,-4949143594732879,-170,-5165508922038182,-115,-7208588409582570,-171,-5793941775151147,-117,6359276604177800,-94,8206466126173712,-76
-7820488831191213,-72,-6086533492043032,-127,4798801221291331,-89,-8574684133402098,-143,5119799526115578,-128,-5682276092346368,-186,4801825406866201,-90,8337405941616941,-145,6694543816526441,-113,-5400566310235303,-167,-5635224096957841,-109,6443797518007941,-163,-5216815108424938,-109,4798801221291237,-89,4895899099575864,-72
-5997826980363626,-71,-4925095296394381,-125,8239826531122887,-90,7528288537269284,-144,7588979378179334,-129,5279854836580352,-183,8267735445657514,-91,5554116491628721,-145,-8992395662880585,-111,-4537581309944982,-165,7823036996698730,-112,7001068885894955,-166,-5080877164531220,-111,8239826531120586,-90,5554057823541624,-74
-6937002031408830,-72,-5592449518362504,-125,8610006161430037,-90,6298861152918928,-144,7837719718795618,-129,-7140228510777344,-184,8402136824046885,-91,-4981165415398338,-144,4669570804277741,-111,-6402735973068122,-164,4824202311830652,-109,-5154885997702436,-163,5991595012900087,-109,8610006161428181,-90,-6267996691648322,-72
6458784764713104,-76,-5122914133702426,-127,7766133886275244,-90,8918723253864860,-145,6658473842178841,-129,-5770237022568448,-183,7744301171118389,-91,-4669599434051977,-144,6510405579469548,-115,5463903458151337,-170,5081848522908826,-109,8975000643939353,-164,5183573610088038,-109,7766133886271083,-90,-6011933484718488,-72
-7526312786024768,-72,-6885349452756604,-126,4762874767200250,-89,7414668105635949,-143,8675068673543565,-129,-5699868278390784,-186,8839574203046690,-91,-5107420651703824,-149,4951870236458659,-112,-5876601201922418,-167,-5261093397237356,-109,7096150752281472,-164,-4642109617680023,-109,4762874767200029,-89,8778817065848223,-73
7426583246472272,-76,5076306248843936,-125,7704401102850422,-98,5585233754538432,-153,7614566659478303,-140,8584986789675008,-196,5856019088955763,-96,6064616942575969,-150,6289004201464395,-118,-6012219379585644,-174,5945787372576620,-119,-5475751550419395,-173,4630948943876352,-117,7704401102838673,-98,-5414032748198688,-72
6604004876774473,-72,7386347891737625,-126,6886556091348544,-91,4769056342675308,-146,4960288981508018,-131,7019282231721984,-185,6684183661266271,-92,8126979199655944,-146,7174960476330124,-111,-7827595532075404,-165,-6369168594156488,-112,4741035836345762,-166,7980752358503759,-112,6886556091338874,-91,-5219170928281211,-73
8707358549911050,-72,-5806898541832044,-125,8556214611710404,-91,-5344007568075376,-146,8207177753787743,-131,6144070976012288,-185,8597888423761023,-92,8137221904419566,-148,-4560882567225920,-110,-6521857831810750,-163,-8535897583198630,-114,-8127907174274636,-169,-5094376166175835,-110,8556214611701414,-91,5362892738173704,-72
8297884275705631,-72,5297220164784011,-126,4674519649624694,-89,-6603469053998110,-144,7127549342033839,-129,4831254092447744,-183,8012443891953119,-91,5962138334557509,-152,-5291037272960697,-112,-8155017104859430,-165,-8876116392425955,-110,4802774741166691,-164,-5099437855333065,-109,4674519649624486,-89,4912981043286851,-72
8482954996670226,-72,6735581841818478,-127,5766685636161627,-90,-8536715093209236,-145,6983099423371696,-130,-7184208975888384,-186,5607948284443063,-91,5478900353908491,-146,8161490130681752,-111,-6518506291345325,-164,7035501145988990,-111,4772097544957084,-164,7598495638335371,-110,5766685636157835,-90,-5934185472295597,-72
7377293245360545,-73,9006427814290940,-127,6047582417667416,-93,-8834884427065820,-147,6385060197720940,-136,-8796093022208000,-192,5362439251608750,-94,-5940901066892298,-151,8711375076884100,-113,6023162662422612,-168,-8288850541438144,-120,-5015447435801255,-173,8646618432029115,-113,6047582417655993,-93,-6439086705922802,-72
-4865971610720570,-71,-5031117441802968,-128,8899349063153286,-90,-7720120128825546,-144,8849553222804419,-129,7230388464254976,-184,8928028292587043,-91,-7004015078558025,-147,-5053144927954238,-111,-5957601821585927,-166,8028540082302694,-110,-8475060366032185,-167,5501967618325575,-110,8899349063152181,-90,-5568645333464177,-73
4643503552484946,-71,8123641066381128,-128,5077591432610810,-90,8584689458798336,-144,5717497035725729,-130,-5387606976102400,-184,5074378535307187,-91,-4641367491706159,-144,-5333464940677744,-110,-4811365862045109,-164,-5149208963191997,-112,-6255762696127516,-164,-6620767181475744,-110,5077591432605407,-90,5872328446895375,-72
-6653073178208440,-72,6165538693898480,-131,8351303877623574,-90,6114967081200448,-146,7738645275076381,-129,7158920208449536,-183,8348863392963912,-91,-7183866235365745,-146,-4766951528864813,-111,-7508236928433585,-166,4775618561742331,-109,8521421077803178,-166,7167761359052256,-110,8351303877621471,-90,-7730703578445820,-73
