nx_significand,nx_exponent,nNorm_significand,nNorm_exponent,sSquare_significand,sSquare_exponent,s_significand,s_exponent,znxnz_significand,znxnz_exponent,sny_significand,sny_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
6584753271050036,-53,4503599627370497,-52,7688298193475544,-56,5884302582230941,-54,5840292746869350,-54,6320863345455012,-56,7420508583233103,-54,5463393234999260,-53,-6116894437739058,-53
5075371018571792,-53,4503599627370496,-52,7260373435066900,-55,8086756469282099,-54,7796602122671433,-55,-5065479820150225,-54,-4668715035258034,-56,6393994450088132,-53,6576803735823481,-56
-7415223997931571,-53,4503599627370496,-52,7317840519138644,-54,5740785994543736,-53,-5790276660203276,-58,6507593365096064,-54,6145701073833359,-54,8998151288929390,-53,-6151880798025459,-54
7425275887551779,-53,4503599627370496,-52,4823296860727813,-54,4660707880212089,-53,5294386519454591,-54,7234125523001309,-56,7102917900204918,-54,6460244994380923,-53,-4951623109716372,-53
8614631055352499,-53,4503599627370496,-52,4572310324840350,-53,6417453556539895,-53,-7717207486549636,-56,6199523576905001,-55,4681839667260366,-56,8764537255084709,-53,-4811464830878491,-56
-7527181234204387,-59,4503599627370496,-52,8674780618270080,-57,8839427442992214,-55,7052842086650860,-60,6652063579776520,-55,6872464894984359,-55,5102523503809490,-53,-6065788882120937,-54
-7107792538600947,-53,4503599627370496,-52,7681561191388776,-55,8318013719532104,-54,5159511019864905,-54,6127038066163737,-55,8223030052946774,-54,6830702305121371,-53,-5421585281873803,-53
-5438611568982368,-53,4503599627370496,-52,8839636733216556,-56,6309531258168441,-54,-4767492151430520,-54,-5845458835765532,-55,-7690221569313286,-54,5216609878794225,-53,6639116169055208,-53
-5491309068915129,-54,4503599627370496,-52,5913553996805600,-55,7298257268204377,-54,-8878084578333153,-56,-5631720339146320,-54,-7851241483729608,-54,6200273391199773,-53,5702788569082498,-53
-7241537813716872,-55,4503599627370496,-52,6615300807778018,-54,5458265864984301,-53,5741364625407125,-57,5148796010737059,-53,5507631299825004,-53,8378657733877667,-53,-5920797115102237,-53
-7649494295233050,-64,9007199254740990,-53,7986757905542576,-57,8481646058083290,-55,7192915292416574,-65,-6417847854302792,-55,-6410823522962541,-55,5157134338937187,-53,5598415812278836,-54
-6870186090759127,-53,4503599627370496,-52,5893346295917056,-61,7285776853878706,-57,-6754709297479029,-54,-6903738442580188,-61,-6808644754061687,-54,5271783626712020,-53,5816515272349082,-53
-5177485607253064,-53,4503599627370496,-52,5178123470150640,-56,4829098770024159,-54,4766515520091560,-54,-4966734391884533,-55,4566296648298587,-55,5358090975359174,-53,-7676156294588531,-55
-5157481055349561,-53,4503599627370496,-52,8306718041959904,-58,6116382286813211,-55,-4999955939906967,-54,-5678156738962957,-56,-6419495124647706,-54,4893836107805775,-53,5907601974074431,-53
-5524583041155955,-59,9007199254740991,-53,8790672973046590,-54,6292032384353128,-53,4759266917517739,-62,-6216577125480753,-53,-6207281682282476,-53,8793289756647397,-53,6358282791756760,-53
-6442416962379289,-53,4503599627370496,-52,6150311311016896,-56,5262940217075265,-54,-5881483905229435,-54,-4681120535555507,-58,-6174053938701654,-54,4635786475794517,-53,5998004257289826,-53
8665698729667537,-55,4503599627370497,-52,4638933249533116,-54,4570765587294315,-53,5932059505864419,-56,7728144420535758,-54,4605579648500931,-53,6958350728062270,-53,-5961667527095170,-53
-8583870711504213,-53,4503599627370496,-52,6795015268131960,-54,5531909998322092,-53,-5950164088315220,-55,-8752528685820970,-56,-5163214215612852,-54,8532749527253003,-53,5450306385579345,-54
7812327788154228,-53,9007199254740991,-53,5007370452193104,-55,6715830805284316,-54,6072536017370700,-54,5241058674303648,-58,6400102184514678,-54,6797393172868219,-53,-8480750511346713,-54
